district_name,division,performance,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014
OSMANABAD,Aurangabad,3-5_subtract,86.9,69.6,69.1,96.4,74.4,41.9,43.9,26.9,38.2
PARBHANI,Aurangabad,3-5_subtract,63.4,75.5,60.7,63.1,71.5,61.3,23.4,26.8,36.3
PUNE,Pune,3-5_subtract,70.3,76.7,66.2,74.2,80.7,77.2,63.5,54.4,49
RAIGARH (MAHARASHTRA),Konkan,3-5_subtract,84,86.2,96.7,89.2,56.1,61.5,34.4,36,37
RATNAGIRI,Konkan,3-5_subtract,80.5,73.3,83.2,86.2,84.7,89.2,,46.6,50
SANGLI,Pune,3-5_subtract,78.7,69.8,66.1,76.1,74.8,,,52.1,48.3
SATARA,Pune,3-5_subtract,89.4,83.2,85.5,86,77.6,59.4,,48.3,59.3
SINDHUDURG,Konkan,3-5_subtract,83.8,85.6,88.2,89.8,79.9,75.8,,57.6,61.6
SOLAPUR,Pune,3-5_subtract,65.1,82.8,66.3,95.8,73.9,60.5,,34.1,48
THANE,Konkan,3-5_subtract,61.1,72.4,87.5,55.8,61.7,50.2,26.8,21.1,24.3
WARDHA,Nagpur,3-5_subtract,69.3,67.2,41.2,66.7,52.9,43.1,29.9,31.1,31.8
WASHIM,Amravati,3-5_subtract,63.8,76,42.8,99.6,96.3,28,23.1,18.6,22.7
YAVATMAL,Amravati,3-5_subtract,62.2,56.1,56.1,55.7,45.8,34.4,30.2,27.6,22.6
AHMADNAGAR,Nashik,1-2_english,,39.3,,27.2,92.4,,,,
AKOLA,Amravati,1-2_english,,40.4,,90.3,84.5,,,,
AMRAVATI,Amravati,1-2_english,,40.9,,86.1,80.3,,,,
AURANGABAD (MAHARASHTRA),Aurangabad,1-2_english,,40.2,,55.6,85.2,,,,
BHANDARA,Nagpur,1-2_english,,47.7,,59.2,78.3,,,,
BID,Aurangabad,1-2_english,,26.1,,83.6,94.4,,,,
BULDANA,Amravati,1-2_english,,69.4,,64.1,87.1,,,,
CHANDRAPUR,Nagpur,1-2_english,,25.6,,65.3,74.9,,,,
DHULE,Nashik,1-2_english,,50.5,,44.3,95.3,,,,
